"No.","Time","Source","Destination","Protocol","Length","Info"
"1160","37.624052","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1297 Ack=1072 Win=254 Len=35 TSval=121599908 TSecr=37"
"1185","38.456838","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1332 Ack=1101 Win=254 Len=35 TSval=121599991 TSecr=37"
"1213","39.459743","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1367 Ack=1130 Win=254 Len=35 TSval=121600091 TSecr=37"
"1241","40.454985","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1402 Ack=1159 Win=260 Len=35 TSval=121600191 TSecr=37"
"1273","41.638906","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1437 Ack=1188 Win=260 Len=35 TSval=121600309 TSecr=37"
"1302","42.639100","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1472 Ack=1217 Win=259 Len=35 TSval=121600409 TSecr=37"
"1328","43.451400","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1507 Ack=1246 Win=259 Len=35 TSval=121600490 TSecr=37"
"1362","44.631222","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1542 Ack=1275 Win=259 Len=35 TSval=121600608 TSecr=37"
"1390","45.638082","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1577 Ack=1304 Win=259 Len=35 TSval=121600709 TSecr=37"
"1416","46.462926","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1612 Ack=1333 Win=259 Len=35 TSval=121600791 TSecr=37"
"1450","47.628952","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1647 Ack=1362 Win=259 Len=35 TSval=121600908 TSecr=37"
"1481","48.629139","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1682 Ack=1391 Win=259 Len=35 TSval=121601008 TSecr=37"
"1512","49.639128","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1717 Ack=1420 Win=259 Len=35 TSval=121601109 TSecr=37"
"1535","50.456256","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1752 Ack=1449 Win=259 Len=35 TSval=121601191 TSecr=37"
"1566","51.455997","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1787 Ack=1478 Win=258 Len=35 TSval=121601291 TSecr=37"
"1595","52.459864","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1822 Ack=1507 Win=258 Len=35 TSval=121601391 TSecr=37"
"1622","53.451598","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1857 Ack=1536 Win=258 Len=35 TSval=121601490 TSecr=37"
"1652","54.462510","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1892 Ack=1565 Win=258 Len=35 TSval=121601591 TSecr=37"
"1685","55.643645","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1927 Ack=1594 Win=258 Len=35 TSval=121601709 TSecr=37"
"1711","56.458943","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1962 Ack=1623 Win=258 Len=35 TSval=121601791 TSecr=37"
"1746","57.628278","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=1997 Ack=1652 Win=258 Len=35 TSval=121601908 TSecr=37"
"1772","58.455865","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2032 Ack=1681 Win=258 Len=35 TSval=121601991 TSecr=37"
"1800","59.455751","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2067 Ack=1710 Win=258 Len=35 TSval=121602091 TSecr=37"
"1826","60.460708","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2102 Ack=1739 Win=257 Len=35 TSval=121602191 TSecr=37"
"1855","61.455055","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2137 Ack=1768 Win=257 Len=35 TSval=121602291 TSecr=37"
"1893","62.641997","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2172 Ack=1797 Win=257 Len=35 TSval=121602409 TSecr=37"
"1918","63.457145","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2207 Ack=1826 Win=257 Len=35 TSval=121602491 TSecr=37"
"1947","64.450812","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2242 Ack=1855 Win=257 Len=35 TSval=121602590 TSecr=37"
"1979","65.464514","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2277 Ack=1884 Win=257 Len=35 TSval=121602691 TSecr=37"
"2012","66.638607","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2312 Ack=1913 Win=257 Len=35 TSval=121602809 TSecr=37"
"2035","67.461303","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2347 Ack=1942 Win=257 Len=35 TSval=121602891 TSecr=37"
"2063","68.451618","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2382 Ack=1971 Win=257 Len=35 TSval=121602990 TSecr=37"
"2102","69.630627","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2417 Ack=2000 Win=256 Len=35 TSval=121603108 TSecr=37"
"2126","70.459179","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=2452 Ack=2029 Win=256 Len=36 TSval=121603191 TSecr=37"
"2157","71.462336","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2488 Ack=2056 Win=256 Len=35 TSval=121603291 TSecr=37"
"2186","72.456487","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2523 Ack=2085 Win=256 Len=35 TSval=121603391 TSecr=37"
"2218","73.466377","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2558 Ack=2114 Win=256 Len=35 TSval=121603492 TSecr=37"
"2249","74.459646","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2593 Ack=2143 Win=256 Len=35 TSval=121603591 TSecr=37"
"2286","75.642066","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2628 Ack=2172 Win=256 Len=35 TSval=121603709 TSecr=37"
"2307","76.453289","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2663 Ack=2201 Win=256 Len=35 TSval=121603790 TSecr=37"
"2345","77.642962","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2698 Ack=2230 Win=256 Len=35 TSval=121603909 TSecr=37"
"2369","78.447131","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2733 Ack=2259 Win=255 Len=35 TSval=121603990 TSecr=37"
"2399","79.454955","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2768 Ack=2288 Win=255 Len=35 TSval=121604090 TSecr=37"
"2435","80.640535","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2803 Ack=2317 Win=255 Len=35 TSval=121604209 TSecr=37"
"2459","81.462111","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2838 Ack=2346 Win=255 Len=35 TSval=121604291 TSecr=37"
"2489","82.454029","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2873 Ack=2375 Win=255 Len=35 TSval=121604390 TSecr=37"
"2519","83.469687","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2908 Ack=2404 Win=255 Len=35 TSval=121604492 TSecr=37"
"2546","84.468907","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2943 Ack=2433 Win=255 Len=35 TSval=121604592 TSecr=37"
"2577","85.464303","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=2978 Ack=2462 Win=255 Len=35 TSval=121604691 TSecr=37"
"2610","86.635554","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3013 Ack=2491 Win=254 Len=35 TSval=121604808 TSecr=37"
"2637","87.453683","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3048 Ack=2520 Win=254 Len=35 TSval=121604890 TSecr=37"
"2673","88.643485","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3083 Ack=2549 Win=254 Len=35 TSval=121605009 TSecr=37"
"2698","89.448102","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3118 Ack=2578 Win=254 Len=35 TSval=121605090 TSecr=37"
"2731","90.617485","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3153 Ack=2607 Win=260 Len=35 TSval=121605206 TSecr=37"
"2757","91.467531","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3188 Ack=2636 Win=260 Len=35 TSval=121605291 TSecr=37"
"2784","92.470682","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3223 Ack=2665 Win=259 Len=35 TSval=121605392 TSecr=37"
"2816","93.455936","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3258 Ack=2694 Win=259 Len=35 TSval=121605490 TSecr=37"
"2849","94.645876","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3293 Ack=2723 Win=259 Len=35 TSval=121605609 TSecr=37"
"2875","95.639103","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3328 Ack=2752 Win=259 Len=35 TSval=121605709 TSecr=37"
"2913","96.934427","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=3363 Ack=2781 Win=259 Len=36 TSval=121605838 TSecr=37"
"2928","97.465032","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3399 Ack=2808 Win=259 Len=35 TSval=121605891 TSecr=37"
"2961","98.641716","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3434 Ack=2837 Win=259 Len=35 TSval=121606009 TSecr=37"
"2990","99.638510","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=3469 Ack=2866 Win=259 Len=35 TSval=121606108 TSecr=37"
"3014","100.450952","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=3504 Ack=2895 Win=259 Len=36 TSval=121606190 TSecr=37"
