"No.","Time","Source","Destination","Protocol","Length","Info"
"4673","156.456329","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5468 Ack=4518 Win=258 Len=35 TSval=121611790 TSecr=37"
"4707","157.459117","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5503 Ack=4547 Win=258 Len=35 TSval=121611890 TSecr=37"
"4735","158.473064","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5538 Ack=4576 Win=258 Len=35 TSval=121611991 TSecr=37"
"4770","159.641029","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5573 Ack=4605 Win=258 Len=35 TSval=121612108 TSecr=37"
"4798","160.629280","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5608 Ack=4634 Win=258 Len=35 TSval=121612207 TSecr=37"
"4824","161.462192","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5643 Ack=4663 Win=257 Len=35 TSval=121612290 TSecr=37"
"4853","162.465579","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5678 Ack=4692 Win=257 Len=35 TSval=121612390 TSecr=37"
"4886","163.456936","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5713 Ack=4721 Win=257 Len=35 TSval=121612490 TSecr=37"
"4916","164.448247","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5748 Ack=4750 Win=257 Len=35 TSval=121612589 TSecr=37"
"4942","165.464189","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5783 Ack=4779 Win=257 Len=35 TSval=121612690 TSecr=37"
"4972","166.464523","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5818 Ack=4808 Win=257 Len=35 TSval=121612790 TSecr=37"
"5002","167.456968","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5853 Ack=4837 Win=257 Len=35 TSval=121612890 TSecr=37"
"5033","168.463280","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5888 Ack=4866 Win=257 Len=35 TSval=121612990 TSecr=37"
"5063","169.454183","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5923 Ack=4895 Win=257 Len=35 TSval=121613089 TSecr=37"
"5093","170.467779","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5958 Ack=4924 Win=256 Len=35 TSval=121613191 TSecr=37"
"5122","171.458662","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5993 Ack=4953 Win=256 Len=35 TSval=121613290 TSecr=37"
"5150","172.462286","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6028 Ack=4982 Win=256 Len=35 TSval=121613390 TSecr=37"
"5180","173.454857","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6063 Ack=5011 Win=256 Len=35 TSval=121613489 TSecr=37"
"5213","174.655637","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6098 Ack=5040 Win=256 Len=35 TSval=121613609 TSecr=37"
"5245","175.647383","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6133 Ack=5069 Win=256 Len=35 TSval=121613708 TSecr=37"
"5270","176.462476","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6168 Ack=5098 Win=256 Len=35 TSval=121613790 TSecr=37"
"5298","177.466791","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6203 Ack=5127 Win=256 Len=35 TSval=121613890 TSecr=37"
"5327","178.459949","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6238 Ack=5156 Win=255 Len=35 TSval=121613990 TSecr=37"
"5356","179.465935","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6273 Ack=5185 Win=255 Len=35 TSval=121614090 TSecr=37"
"5385","180.456632","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6308 Ack=5214 Win=255 Len=35 TSval=121614189 TSecr=37"
"5424","181.641976","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6343 Ack=5243 Win=255 Len=35 TSval=121614308 TSecr=37"
"5448","182.459187","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6378 Ack=5272 Win=255 Len=35 TSval=121614390 TSecr=37"
"5478","183.462816","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6413 Ack=5301 Win=255 Len=35 TSval=121614490 TSecr=37"
"5508","184.466224","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6448 Ack=5330 Win=255 Len=35 TSval=121614590 TSecr=37"
"5535","185.459690","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6483 Ack=5359 Win=255 Len=35 TSval=121614690 TSecr=37"
"5566","186.634112","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6518 Ack=5388 Win=255 Len=35 TSval=121614807 TSecr=37"
"5595","187.643349","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6553 Ack=5417 Win=254 Len=35 TSval=121614908 TSecr=37"
"5621","188.466817","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6588 Ack=5446 Win=254 Len=35 TSval=121614990 TSecr=37"
"5652","189.471100","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6623 Ack=5475 Win=254 Len=35 TSval=121615091 TSecr=37"
"5678","190.462700","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6658 Ack=5504 Win=254 Len=35 TSval=121615190 TSecr=37"
"5708","191.651318","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6693 Ack=5533 Win=260 Len=35 TSval=121615309 TSecr=37"
"5736","192.472868","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6728 Ack=5562 Win=260 Len=35 TSval=121615391 TSecr=37"
"5766","193.470693","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6763 Ack=5591 Win=259 Len=35 TSval=121615491 TSecr=37"
"5794","194.466324","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6798 Ack=5620 Win=259 Len=35 TSval=121615590 TSecr=37"
"5820","195.455712","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6833 Ack=5649 Win=259 Len=35 TSval=121615689 TSecr=37"
"5849","196.459847","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6868 Ack=5678 Win=259 Len=35 TSval=121615790 TSecr=37"
"5881","197.451429","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6903 Ack=5707 Win=259 Len=35 TSval=121615889 TSecr=37"
"5913","198.465987","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6938 Ack=5736 Win=259 Len=35 TSval=121615990 TSecr=37"
"5944","199.474683","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=6973 Ack=5765 Win=259 Len=35 TSval=121616091 TSecr=37"
"5973","200.464858","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7008 Ack=5794 Win=259 Len=35 TSval=121616190 TSecr=37"
"6006","201.464952","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7043 Ack=5823 Win=259 Len=35 TSval=121616290 TSecr=37"
"6036","202.458263","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7078 Ack=5852 Win=258 Len=35 TSval=121616389 TSecr=37"
"6069","203.459678","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7113 Ack=5881 Win=258 Len=35 TSval=121616489 TSecr=37"
"6100","204.462567","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7148 Ack=5910 Win=258 Len=35 TSval=121616590 TSecr=37"
"6126","205.466678","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7183 Ack=5939 Win=258 Len=35 TSval=121616690 TSecr=37"
"6159","206.456689","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7218 Ack=5968 Win=258 Len=35 TSval=121616789 TSecr=37"
"6187","207.461550","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=7253 Ack=5997 Win=258 Len=36 TSval=121616890 TSecr=37"
"6219","208.454704","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7289 Ack=6024 Win=258 Len=35 TSval=121616989 TSecr=37"
"6249","209.467879","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7324 Ack=6053 Win=258 Len=35 TSval=121617090 TSecr=37"
"6279","210.471306","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7359 Ack=6082 Win=258 Len=35 TSval=121617190 TSecr=37"
"6311","211.465622","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7394 Ack=6111 Win=257 Len=35 TSval=121617290 TSecr=37"
"6345","212.635528","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7429 Ack=6140 Win=257 Len=35 TSval=121617407 TSecr=37"
"6371","213.472856","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7464 Ack=6169 Win=257 Len=35 TSval=121617491 TSecr=37"
"6401","214.469078","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7499 Ack=6198 Win=257 Len=35 TSval=121617590 TSecr=37"
"6436","215.634977","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7534 Ack=6227 Win=257 Len=35 TSval=121617707 TSecr=37"
"6458","216.467390","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7569 Ack=6256 Win=257 Len=35 TSval=121617790 TSecr=37"
"6491","217.461178","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7604 Ack=6285 Win=257 Len=35 TSval=121617889 TSecr=37"
"6522","218.463236","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7639 Ack=6314 Win=257 Len=35 TSval=121617990 TSecr=37"
"6554","219.646092","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7674 Ack=6343 Win=257 Len=35 TSval=121618108 TSecr=37"
"6578","220.466291","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7709 Ack=6372 Win=256 Len=35 TSval=121618190 TSecr=37"
"6609","221.639831","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7744 Ack=6401 Win=256 Len=35 TSval=121618307 TSecr=37"
"6634","222.463997","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7779 Ack=6430 Win=256 Len=35 TSval=121618390 TSecr=37"
"6657","223.468627","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7814 Ack=6459 Win=256 Len=35 TSval=121618490 TSecr=37"
"6691","224.656718","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7849 Ack=6488 Win=256 Len=35 TSval=121618609 TSecr=37"
"6716","225.471965","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7884 Ack=6517 Win=256 Len=35 TSval=121618690 TSecr=37"
"6750","226.633407","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7919 Ack=6546 Win=256 Len=35 TSval=121618807 TSecr=37"
"6778","227.465137","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7954 Ack=6575 Win=256 Len=35 TSval=121618890 TSecr=37"
"6813","228.647403","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=7989 Ack=6604 Win=256 Len=35 TSval=121619008 TSecr=37"
"6835","229.468094","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8024 Ack=6633 Win=255 Len=35 TSval=121619090 TSecr=37"
"6864","230.460408","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8059 Ack=6662 Win=255 Len=35 TSval=121619189 TSecr=37"
"6894","231.464404","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=8094 Ack=6691 Win=255 Len=36 TSval=121619290 TSecr=37"
"6925","232.654622","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8130 Ack=6718 Win=255 Len=35 TSval=121619409 TSecr=37"
"6951","233.468906","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8165 Ack=6747 Win=255 Len=35 TSval=121619490 TSecr=37"
"6982","234.639999","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8200 Ack=6776 Win=255 Len=35 TSval=121619607 TSecr=37"
"7006","235.464627","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8235 Ack=6805 Win=255 Len=35 TSval=121619690 TSecr=37"
"7037","236.469164","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8270 Ack=6834 Win=255 Len=35 TSval=121619790 TSecr=37"
"7068","237.463498","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=8305 Ack=6863 Win=254 Len=36 TSval=121619889 TSecr=37"
"7100","238.466346","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8341 Ack=6890 Win=254 Len=35 TSval=121619990 TSecr=37"
"7130","239.467392","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8376 Ack=6919 Win=254 Len=35 TSval=121620090 TSecr=37"
"7165","240.641138","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8411 Ack=6948 Win=254 Len=35 TSval=121620207 TSecr=37"
"7185","241.460303","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8446 Ack=6977 Win=254 Len=35 TSval=121620289 TSecr=37"
"7216","242.465720","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8481 Ack=7006 Win=260 Len=35 TSval=121620390 TSecr=37"
"7253","243.711575","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8516 Ack=7035 Win=260 Len=35 TSval=121620514 TSecr=37"
"7282","244.644216","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8551 Ack=7064 Win=259 Len=35 TSval=121620607 TSecr=37"
"7314","245.638105","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8586 Ack=7093 Win=259 Len=35 TSval=121620707 TSecr=37"
"7341","246.462816","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8621 Ack=7122 Win=259 Len=35 TSval=121620789 TSecr=37"
"7372","247.472258","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8656 Ack=7151 Win=259 Len=35 TSval=121620890 TSecr=37"
"7400","248.462486","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8691 Ack=7180 Win=259 Len=35 TSval=121620989 TSecr=37"
"7429","249.471305","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8726 Ack=7209 Win=259 Len=35 TSval=121621090 TSecr=37"
"7456","250.464580","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8761 Ack=7238 Win=259 Len=35 TSval=121621189 TSecr=37"
"7490","251.645300","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8796 Ack=7267 Win=259 Len=35 TSval=121621307 TSecr=37"
"7513","252.469806","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8831 Ack=7296 Win=259 Len=35 TSval=121621390 TSecr=37"
"7547","253.465878","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8866 Ack=7325 Win=258 Len=35 TSval=121621489 TSecr=37"
"7580","254.648161","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8901 Ack=7354 Win=258 Len=35 TSval=121621608 TSecr=37"
"7605","255.463250","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8936 Ack=7383 Win=258 Len=35 TSval=121621689 TSecr=37"
"7637","256.465901","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=8971 Ack=7412 Win=258 Len=35 TSval=121621789 TSecr=37"
"7661","257.464305","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9006 Ack=7441 Win=258 Len=35 TSval=121621889 TSecr=37"
"7694","258.472518","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9041 Ack=7470 Win=258 Len=35 TSval=121621990 TSecr=37"
"7719","259.465029","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9076 Ack=7499 Win=258 Len=35 TSval=121622089 TSecr=37"
"7756","260.647144","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9111 Ack=7528 Win=258 Len=35 TSval=121622208 TSecr=37"
"7781","261.458099","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9146 Ack=7557 Win=258 Len=35 TSval=121622289 TSecr=37"
"7819","262.644359","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9181 Ack=7586 Win=257 Len=35 TSval=121622407 TSecr=37"
"7850","263.649451","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9216 Ack=7615 Win=257 Len=35 TSval=121622508 TSecr=37"
"7874","264.479252","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9251 Ack=7644 Win=257 Len=35 TSval=121622591 TSecr=37"
"7910","265.654284","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9286 Ack=7673 Win=257 Len=35 TSval=121622708 TSecr=37"
"7931","266.472878","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9321 Ack=7702 Win=257 Len=35 TSval=121622790 TSecr=37"
"7964","267.648145","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9356 Ack=7731 Win=257 Len=35 TSval=121622908 TSecr=37"
"7985","268.476031","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9391 Ack=7760 Win=257 Len=35 TSval=121622990 TSecr=37"
"8021","269.658261","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9426 Ack=7789 Win=257 Len=35 TSval=121623109 TSecr=37"
"8046","270.462423","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9461 Ack=7818 Win=257 Len=35 TSval=121623189 TSecr=37"
"8075","271.468237","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9496 Ack=7847 Win=256 Len=35 TSval=121623290 TSecr=37"
"8106","272.460143","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9531 Ack=7876 Win=256 Len=35 TSval=121623389 TSecr=37"
"8138","273.647071","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9566 Ack=7905 Win=256 Len=35 TSval=121623507 TSecr=37"
"8163","274.475116","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9601 Ack=7934 Win=256 Len=35 TSval=121623590 TSecr=37"
"8190","275.465112","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9636 Ack=7963 Win=256 Len=35 TSval=121623689 TSecr=37"
"8229","276.659929","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9671 Ack=7992 Win=256 Len=35 TSval=121623809 TSecr=37"
"8253","277.463636","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9706 Ack=8021 Win=256 Len=35 TSval=121623889 TSecr=37"
"8278","278.468863","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9741 Ack=8050 Win=256 Len=35 TSval=121623990 TSecr=37"
"8310","279.643089","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9776 Ack=8079 Win=255 Len=35 TSval=121624107 TSecr=37"
"8342","280.651468","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9811 Ack=8108 Win=255 Len=35 TSval=121624208 TSecr=37"
"8376","281.648138","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9846 Ack=8137 Win=255 Len=35 TSval=121624307 TSecr=37"
"8400","282.468641","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9881 Ack=8166 Win=255 Len=35 TSval=121624389 TSecr=37"
"8428","283.460571","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9916 Ack=8195 Win=255 Len=35 TSval=121624489 TSecr=37"
"8455","284.470618","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9951 Ack=8224 Win=255 Len=35 TSval=121624590 TSecr=37"
"8496","285.648247","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=9986 Ack=8253 Win=255 Len=35 TSval=121624707 TSecr=37"
"8521","286.466913","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10021 Ack=8282 Win=255 Len=35 TSval=121624789 TSecr=37"
"8552","287.461763","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10056 Ack=8311 Win=255 Len=35 TSval=121624889 TSecr=37"
"8587","288.654958","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10091 Ack=8340 Win=254 Len=35 TSval=121625008 TSecr=37"
"8611","289.468103","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10126 Ack=8369 Win=254 Len=35 TSval=121625089 TSecr=37"
"8645","290.644428","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10161 Ack=8398 Win=254 Len=35 TSval=121625207 TSecr=37"
"8670","291.462636","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10196 Ack=8427 Win=254 Len=35 TSval=121625289 TSecr=37"
"8699","292.461723","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10231 Ack=8456 Win=260 Len=35 TSval=121625389 TSecr=37"
"8729","293.464181","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10266 Ack=8485 Win=260 Len=35 TSval=121625489 TSecr=37"
"8757","294.473125","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10301 Ack=8514 Win=259 Len=35 TSval=121625590 TSecr=37"
"8794","295.657300","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10336 Ack=8543 Win=259 Len=35 TSval=121625708 TSecr=37"
"8827","296.650097","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10371 Ack=8572 Win=259 Len=35 TSval=121625807 TSecr=37"
"8852","297.467117","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10406 Ack=8601 Win=259 Len=35 TSval=121625889 TSecr=37"
"8880","298.463503","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=10441 Ack=8630 Win=259 Len=36 TSval=121625989 TSecr=37"
"8913","299.461233","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10477 Ack=8657 Win=259 Len=35 TSval=121626089 TSecr=37"
"8945","300.478504","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10512 Ack=8686 Win=259 Len=35 TSval=121626190 TSecr=37"
"8975","301.473125","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10547 Ack=8715 Win=259 Len=35 TSval=121626290 TSecr=37"
"9003","302.467655","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=10582 Ack=8744 Win=259 Len=36 TSval=121626389 TSecr=37"
"9028","303.468975","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10618 Ack=8771 Win=258 Len=35 TSval=121626489 TSecr=37"
"9057","304.468746","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10653 Ack=8800 Win=258 Len=35 TSval=121626589 TSecr=37"
"9091","305.650072","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10688 Ack=8829 Win=258 Len=35 TSval=121626707 TSecr=37"
"9121","306.658250","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10723 Ack=8858 Win=258 Len=35 TSval=121626808 TSecr=37"
"9149","307.645865","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10758 Ack=8887 Win=258 Len=35 TSval=121626907 TSecr=37"
"9179","308.640133","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10793 Ack=8916 Win=258 Len=35 TSval=121627006 TSecr=37"
"9203","309.464092","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=10828 Ack=8945 Win=258 Len=36 TSval=121627089 TSecr=37"
"9237","310.645135","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10864 Ack=8972 Win=258 Len=35 TSval=121627207 TSecr=37"
"9268","311.651392","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10899 Ack=9001 Win=258 Len=35 TSval=121627307 TSecr=37"
"9291","312.465132","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10934 Ack=9030 Win=257 Len=35 TSval=121627389 TSecr=37"
"9322","313.478790","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=10969 Ack=9059 Win=257 Len=35 TSval=121627490 TSecr=37"
